Genus.species,SpecCode,SEI,IUCN_cn,IUCN
Acipenser_sinensis,8762,0.501529023,CR,CR
Psephurus_gladius,4513,0.844697685,CR,EX
Anguilla_japonica,295,0.289098524,EN,EN
Tenualosa_reevesii,1598,0.313202356,CR,DD
Coilia_nasus,630,0.671014128,LC,EN
Coilia_brachygnathus,615,0.196646983,NE,NE
Myxocyprinus_asiaticus,12304,0.198312829,CR,VU
Lepturichthys_fimbriatus,58518,0.313202356,NT,LC
Lepturichthys_dolichopterus,58520,0.525632855,DD,LC
Leptobotia_hengyangensis,60444,0.525632855,VU,VU
Leptobotia_citrauratea,69535,0.525632855,LC,LC
Leptobotia_micra,68642,0.525632855,DD,NT
Leptobotia_aff.Bellacauda,NA,0.525632855,NT,NE
Leptobotia_taeniops,60442,0.313202356,VU,LC
Parabotia_fasciatus,54998,0.105861288,LC,LC
Parabotia_banarescui,59575,0.420297007,LC,DD
Parabotia_lijiangensis,60507,0.444400839,DD,DD
Parabotia_kiangsiensis,66157,0.444400839,DD,LC
Parabotia_maculosus,60421,0.525632855,LC,LC
Cobitis_sinensis,47864,0.108018928,LC,LC
Cobitis_macrostigma,54728,0.220750815,LC,NE
Cobitis_crassicauda,67352,0.918767984,DD,LC
Cobitis_fasciola,67351,0.918767984,DD,LC
Cobitis_stenocauda,67354,0.918767984,DD,EN
Cobitis_xinjiangensis,NA,0.918767984,DD,NT
Misgurnus_anguillicaudatus,3016,0,LC,LC
Misgurnus_dabryanus,17244,0.186478151,LC,LC
Vanmanenia_stenosoma,60134,0.511640537,DD,NE
Vanmanenia_aff.Maculata,NA,0.30645711,DD,NE
Vanmanenia_gymnetrus,55020,0.503686663,DD,LC
Vanmanenia_caldwelli,60131,0.907548459,DD,LC
Pseudogastromyzon_fasciatus,60900,0.918767984,DD,LC
Pseudogastromyzon_changtingensis,55026,0.422454647,DD,NE
Pseudogastromyzon_fangi,55024,0.503686663,DD,LC
Formosania_paucisquama,55021,0.503686663,DD,LC
Schistura_incerta,54996,0.320449427,DD,DD
Schistura_fasciolata,54991,0.30645711,DD,DD
Oreonectes_platycephalus,7760,0.525632855,LC,DD
Traccatichthys_pulcher,54990,0.525632855,LC,LC
Spinibarbus_caldwelli,17293,0.013992318,DD,DD
Acrossocheilus_kreyenbergii,55158,0.114889527,LC,DD
Acrossocheilus_parallens,54938,0.225225093,LC,LC
Onychostoma_virgulatum,65185,0.422454647,DD,NE
Onychostoma_brevibarba,NA,0.331668952,NE,NE
Onychostoma_lini,54860,0.422454647,VU,DD
Folifer_brevifilis,54953,0.430408521,NT,DD
Barbodes_semifasciolatus,4677,0.503686663,NE,LC
Parasinilabeo_maculatus,58406,0.525632855,DD,NE
Garra_orientalis,14456,0.525632855,LC,LC
Cyprinus_rubrofuscus,59920,0,LC,LC
Carassius_auratus,271,0,LC,LC
Zacco_aff.Acanthogenys,NA,0.024103832,LC,NE
Opsariichthys_bidens,27264,0,LC,LC
Zacco_acutipinnis,67554,0.525632855,NE,NE
Mylopharyngodon_piceus,4602,0.013992318,LC,LC
Ctenopharyngodon_idella,79,0.013992318,LC,LC
Squaliobarbus_curriculus,10387,0.035938509,LC,LC
Ochetobius_elongatus,25599,0.220750815,CR,LC
Luciobrama_macrocephalus,54895,0.220750815,CR,DD
Elopichthys_bambusa,12068,0.035938509,NT,LC
Sinibrama_macrops,17289,0.155302315,LC,LC
Pseudolaubuca_sinensis,54783,0.126724204,LC,LC
Pseudolaubuca_engraulis,54782,0.219175745,LC,LC
Toxabramis_swinhonis,55396,0.220750815,LC,NE
Hemiculter_leucisculus,4755,0,LC,LC
Hemiculter_bleekeri,22529,0.060042341,LC,NE
Hemiculterella_sauvagei,54924,0.351949298,LC,LC
Hemiculterella_wui,56027,0.236534331,LC,LC
Pseudohemiculter_dispar,54909,0.191240824,LC,VU
Pseudohemiculter_hainanensis,56028,0.261746173,LC,LC
Culter_alburnus,46708,0.09186897,LC,LC
Chanodichthys_erythropterus,4635,0.105861288,LC,LC
Chanodichthys_mongolicus,46706,0.035938509,LC,LC
Chanodichthys_oxycephalus,56247,0.243279577,LC,LC
Chanodichthys_dabryi,46610,0.105861288,LC,LC
Parabramis_pekinensis,282,0.035938509,LC,LC
Megalobrama_amblycephala,285,0.013992318,LC,LC
Megalobrama_terminalis,4789,0.013992318,LC,NE
Xenocypris_macrolepis,11099,0,LC,LC
Xenocypris_davidi,54925,0,LC,LC
Plagiognathops_microlepis,46742,0.024103832,LC,LC
Distoechodon_tumirostris,17306,0.024103832,LC,LC
Pseudobrama_simoni,56111,0.060042341,LC,NE
Hypophthalmichthys_nobilis,275,0,LC,DD
Hypophthalmichthys_molitrix,274,0,LC,NT
Aphyocypris_chinensis,23617,0.525632855,NT,LC
Acheilognathus_macropterus,54380,0.035938509,LC,DD
Acheilognathus_tonkinensis,54709,0.060042341,DD,DD
Acheilognathus_barbatulus,54928,0.191240824,LC,LC
Acheilognathus_polylepis,55892,0.177248506,LC,LC
Acheilognathus_meridianus,56321,0.268034201,LC,DD
Acheilognathus_hypselonotus,55893,0.394434372,LC,CR
Acanthorhodeus_chankaensis,46831,0.060042341,LC,NE
Acheilognathus_barbatus,55891,0.351949298,LC,VU
Acheilognathus_macromandibularis,58200,0.868801517,LC,NE
Paratanakia_chii,69390,0.525632855,LC,NE
Rhodeus_sinensis,54926,0.024103832,LC,LC
Rhodeus_ocellatus,4784,0.024103832,LC,DD
Rhodeus_fangi,55889,0.316010789,LC,LC
Rhodeus_lighti,47833,0.220750815,NE,LC
Rhodeus_nigrodorsalis,70781,0.930077221,DD,VU
Rhodeus_flaviventris,70790,0.930077221,DD,VU
Rhodeus_albomarginatus,67829,0.930077221,DD,VU
Hemibarbus_labeo,17301,0,LC,LC
Hemibarbus_maculatus,4752,0,LC,LC
Paracanthobrama_guichenoti,54127,0.196646983,LC,LC
Belligobio_nummifer,55420,0.909214305,LC,LC
Pseudorasbora_parva,4691,0,LC,LC
