"IUCN_Group","ori","emmean","SE","df","asymp.LCL","asymp.UCL","ori_level","Endpoint"
"Group2",0.125,-1.01038857460215,0.117505991723318,Inf,-1.11040985609403,-0.910367293110265,"Low","FRic contribution"
"Group3",0.125,-0.964618827391714,0.32378747796798,Inf,-1.2402272283117,-0.689010426471723,"Low","FRic contribution"
"Group2",0.525,0.228506393383025,0.0815222858900996,Inf,0.159114497826969,0.29789828893908,"Middle","FRic contribution"
"Group3",0.525,0.130143651571556,0.165618758648152,Inf,-0.0108312913750796,0.271118594518191,"Middle","FRic contribution"
"Group2",0.8,0.454356007209463,0.260792907598924,Inf,0.232368681801769,0.676343332617157,"High","FRic contribution"
"Group4",0.8,0.89785280235648,0.345712336077679,Inf,0.603581928378747,1.19212367633421,"High","FRic contribution"
"Group2",0.125,-1.0391677562424,0.0689312895951051,Inf,-1.1742706012567,-0.904064911228091,"Low","FEve contribution"
"Group3",0.125,-0.767218653337135,0.230652589139469,Inf,-1.21928942099141,-0.315147885682861,"Low","FEve contribution"
"Group2",0.525,0.506341256046535,0.0525725554309542,Inf,0.40330094082663,0.609381571266441,"Middle","FEve contribution"
"Group3",0.525,-0.0697077141639603,0.144431611048192,Inf,-0.352788470047514,0.213373041719593,"Middle","FEve contribution"
"Group2",0.8,0.80954364698963,0.236998622459732,Inf,0.34503488258295,1.27405241139631,"High","FEve contribution"
"Group4",0.8,-0.00954738638575505,0.256767001319975,Inf,-0.512801461391254,0.493706688619744,"High","FEve contribution"
"Group2",0.125,-1.01491564310439,0.050842437561703,Inf,-1.11456498961155,-0.915266296597224,"Low","FDiv contribution"
"Group3",0.125,-1.05667757589745,0.177502779560646,Inf,-1.40457663099206,-0.708778520802829,"Low","FDiv contribution"
"Group2",0.525,0.365830932375096,0.0454197974766896,Inf,0.276809765135681,0.454852099614511,"Middle","FDiv contribution"
"Group3",0.525,0.82845819007726,0.128483636942993,Inf,0.576634889066274,1.08028149108825,"Middle","FDiv contribution"
"Group2",0.8,0.447944781264448,0.209882142171355,Inf,0.0365833416104762,0.85930622091842,"High","FDiv contribution"
"Group4",0.8,0.705687313716415,0.248618508191642,Inf,0.21840399177072,1.19297063566211,"High","FDiv contribution"
"Group2",0.125,1.50507284075789,0.0797437362927869,Inf,1.34877798963137,1.66136769188441,"Low","ReFRed contribution"
"Group3",0.125,0.631878236500202,0.287962971934545,Inf,0.0674811826273757,1.19627529037303,"Low","ReFRed contribution"
"Group2",0.525,-0.114746277335012,0.0600826821423357,Inf,-0.232506170428558,0.00301361575853368,"Middle","ReFRed contribution"
"Group3",0.525,-0.402491538109031,0.150951577000589,Inf,-0.698351192439709,-0.106631883778352,"Middle","ReFRed contribution"
"Group2",0.8,-2.32797119884155,0.654767231012456,Inf,-3.61129138988298,-1.04465100780012,"High","ReFRed contribution"
"Group4",0.8,-0.548335997622865,0.233915788160233,Inf,-1.00680251783222,-0.0898694774135074,"High","ReFRed contribution"
